,0
OTU1101,4
OTU755,4
OTU757,4
OTU1216,4
OTU698,4
OTU1252,4
OTU1108,4
OTU771,4
OTU563,4
OTU1170,4
OTU1215,4
OTU1332,4
OTU1131,4
OTU1354,4
OTU1111,4
OTU946,4
OTU612,4
OTU959,4
OTU619,4
OTU1159,4
OTU1160,4
OTU988,4
OTU375,4
OTU1353,4
OTU990,4
OTU644,4
OTU991,4
OTU941,4
OTU963,4
OTU669,4
OTU912,4
OTU1407,4
OTU1085,4
OTU661,4
OTU1071,4
OTU1146,4
OTU1067,4
OTU901,4
OTU806,4
OTU1045,4
OTU889,4
OTU1275,4
OTU802,4
OTU1037,4
OTU799,4
OTU1178,4
OTU800,4
OTU894,4
OTU1143,4
OTU1084,4
OTU896,4
OTU1281,4
OTU1050,4
OTU1263,4
OTU1280,4
OTU1202,3
OTU985,3
OTU1147,3
OTU1043,3
OTU1133,3
OTU1225,3
OTU1154,3
OTU1065,3
OTU1066,3
OTU1048,3
OTU1233,3
OTU1269,3
OTU1138,3
OTU1273,3
OTU976,3
OTU1285,3
OTU1114,3
OTU1036,3
OTU1328,3
OTU1021,3
OTU1168,3
OTU1094,3
OTU1132,3
OTU1296,3
OTU1078,3
OTU1009,3
OTU1145,3
OTU1005,3
OTU1097,3
OTU1248,3
OTU1218,3
OTU1217,3
OTU1163,3
OTU1030,3
OTU1247,3
OTU1264,3
OTU1172,3
OTU1113,3
OTU1267,3
OTU1033,3
OTU1206,3
OTU1185,3
OTU1193,3
OTU262,3
OTU1349,3
OTU817,3
OTU864,3
OTU904,3
OTU933,3
OTU1355,3
OTU732,3
OTU1360,3
OTU923,3
OTU736,3
OTU1410,3
OTU582,3
OTU1417,3
OTU1420,3
OTU784,3
OTU1376,3
OTU437,3
OTU893,3
OTU1389,3
OTU871,3
OTU953,3
OTU833,3
OTU670,3
OTU829,3
OTU958,3
OTU658,3
OTU954,3
OTU827,3
OTU1338,3
OTU339,3
OTU687,3
OTU700,3
OTU703,3
OTU1268,2
OTU1083,2
OTU1257,2
OTU831,2
OTU1089,2
OTU1405,2
OTU1419,2
OTU453,2
OTU1411,2
OTU1456,2
OTU1326,2
OTU1261,2
OTU823,2
OTU1409,2
OTU1266,2
OTU1075,2
OTU1406,2
OTU1074,2
OTU1256,2
OTU1414,2
OTU1421,2
OTU1255,2
OTU1512,2
OTU1453,2
OTU709,2
OTU1142,2
OTU652,2
OTU1237,2
OTU1120,2
OTU1140,2
OTU1126,2
OTU1127,2
OTU1503,2
OTU1499,2
OTU1448,2
OTU1134,2
OTU1135,2
OTU726,2
OTU1230,2
OTU645,2
OTU1152,2
OTU1093,2
OTU1423,2
OTU1454,2
OTU1428,2
OTU1495,2
OTU1272,2
OTU1496,2
OTU419,2
OTU1249,2
OTU1150,2
OTU743,2
OTU1149,2
OTU1228,2
OTU1498,2
OTU1459,2
OTU1136,2
OTU1494,2
OTU1352,2
OTU1474,2
OTU1490,2
OTU1294,2
OTU1014,2
OTU913,2
OTU1208,2
OTU1011,2
OTU1484,2
OTU1008,2
OTU1298,2
OTU920,2
OTU1358,2
OTU1180,2
OTU1000,2
OTU1181,2
OTU1213,2
OTU1476,2
OTU1304,2
OTU1200,2
OTU1348,2
OTU945,2
OTU1346,2
OTU1343,2
OTU949,2
OTU1197,2
OTU1339,2
OTU1196,2
OTU1480,2
OTU967,2
OTU1331,2
OTU1288,2
OTU1016,2
OTU1042,2
OTU1169,2
OTU1276,2
OTU1278,2
OTU1164,2
OTU1390,2
OTU1465,2
OTU865,2
OTU1396,2
OTU876,2
OTU848,2
OTU1041,2
OTU1283,2
OTU1167,2
OTU1379,2
OTU1035,2
OTU1375,2
OTU504,2
OTU1372,2
OTU1373,2
OTU899,2
OTU1374,2
OTU1055,2
OTU1377,2
OTU1466,2
OTU883,2
OTU880,2
OTU1450,1
OTU1462,1
OTU1464,1
OTU1477,1
OTU1481,1
OTU1209,1
OTU1231,1
OTU1482,1
OTU1198,1
OTU1486,1
OTU1471,1
OTU1204,1
OTU1485,1
OTU1192,1
OTU1329,1
OTU1504,1
OTU1363,1
OTU1284,1
OTU1380,1
OTU1378,1
OTU1287,1
OTU1371,1
OTU1369,1
OTU1367,1
OTU1366,1
OTU1292,1
OTU1297,1
OTU1365,1
OTU1361,1
OTU1505,1
OTU1356,1
OTU1302,1
OTU1351,1
OTU1307,1
OTU1309,1
OTU1310,1
OTU1315,1
OTU1318,1
OTU1319,1
OTU1333,1
OTU1324,1
OTU1381,1
OTU1383,1
OTU1393,1
OTU1394,1
OTU1506,1
OTU1446,1
OTU1242,1
OTU1444,1
OTU1245,1
OTU1443,1
OTU1441,1
OTU1440,1
OTU1438,1
OTU1437,1
OTU1434,1
OTU1513,1
OTU1250,1
OTU1251,1
OTU1427,1
OTU1253,1
OTU1416,1
OTU1408,1
OTU1402,1
OTU1400,1
OTU1398,1
OTU1397,1
OTU1395,1
OTU1382,1
OTU1514,1
OTU735,1
OTU1006,1
OTU795,1
OTU803,1
OTU611,1
OTU1088,1
OTU830,1
OTU965,1
OTU962,1
OTU845,1
OTU1073,1
OTU570,1
OTU1117,1
OTU564,1
OTU961,1
OTU852,1
OTU1119,1
OTU534,1
OTU625,1
OTU1064,1
OTU531,1
OTU1039,1
OTU1003,1
OTU761,1
OTU768,1
OTU741,1
OTU738,1
OTU1034,1
OTU1038,1
OTU1049,1
OTU1063,1
OTU992,1
OTU786,1
OTU1053,1
OTU1060,1
OTU787,1
OTU790,1
OTU791,1
OTU532,1
OTU1013,1
OTU1176,1
OTU1157,1
OTU432,1
OTU332,1
OTU1165,1
OTU939,1
OTU1182,1
OTU344,1
OTU1183,1
OTU367,1
OTU1158,1
OTU530,1
OTU859,1
OTU1187,1
OTU932,1
OTU948,1
OTU875,1
OTU907,1
OTU778,0
OTU1418,0
OTU879,0
OTU857,0
OTU775,0
OTU884,0
OTU1422,0
OTU888,0
OTU1415,0
OTU1424,0
OTU897,0
OTU898,0
OTU1425,0
OTU905,0
OTU1426,0
OTU906,0
OTU1429,0
OTU1430,0
OTU878,0
OTU1413,0
OTU877,0
OTU792,0
OTU1392,0
OTU853,0
OTU1391,0
OTU858,0
OTU849,0
OTU1388,0
OTU1387,0
OTU1386,0
OTU1399,0
OTU1385,0
OTU1384,0
OTU837,0
OTU1401,0
OTU835,0
OTU1403,0
OTU1404,0
OTU825,0
OTU822,0
OTU818,0
OTU863,0
OTU794,0
OTU1412,0
OTU870,0
OTU838,0
OTU1191,0
OTU1431,0
OTU527,0
OTU1491,0
OTU465,0
OTU1489,0
OTU1488,0
OTU1487,0
OTU494,0
OTU1483,0
OTU1493,0
OTU1479,0
OTU1478,0
OTU555,0
OTU1475,0
OTU1473,0
OTU1472,0
OTU1492,0
OTU460,0
OTU1432,0
OTU1507,0
OTU288,0
OTU298,0
OTU1511,0
OTU1510,0
OTU1509,0
OTU1508,0
OTU379,0
OTU424,0
OTU1502,0
OTU1501,0
OTU1500,0
OTU380,0
OTU423,0
OTU1497,0
OTU577,0
OTU1470,0
OTU1469,0
OTU1442,0
OTU659,0
OTU1447,0
OTU704,0
OTU1445,0
OTU719,0
OTU908,0
OTU737,0
OTU1468,0
OTU1439,0
OTU742,0
OTU1436,0
OTU1435,0
OTU751,0
OTU1433,0
OTU1449,0
OTU654,0
OTU1451,0
OTU1452,0
OTU647,0
OTU1455,0
OTU620,0
OTU1457,0
OTU1458,0
OTU1460,0
OTU1461,0
OTU602,0
OTU1463,0
OTU597,0
OTU594,0
OTU580,0
OTU1467,0
OTU1370,0
OTU934,0
OTU1368,0
OTU1118,0
OTU1092,0
OTU1254,0
OTU1095,0
OTU1096,0
OTU1098,0
OTU1100,0
OTU1102,0
OTU1103,0
OTU1107,0
OTU1246,0
OTU1112,0
OTU1244,0
OTU1243,0
OTU1241,0
OTU1240,0
OTU1090,0
OTU1082,0
OTU1259,0
OTU1271,0
OTU1279,0
OTU1052,0
OTU1277,0
OTU1274,0
OTU1061,0
OTU1062,0
OTU1270,0
OTU1260,0
OTU1076,0
OTU1265,0
OTU1077,0
OTU1079,0
OTU1262,0
OTU1080,0
OTU1239,0
OTU1121,0
OTU909,0
OTU1235,0
OTU1173,0
OTU1212,0
OTU1211,0
OTU1210,0
OTU1174,0
OTU1207,0
OTU1177,0
OTU1205,0
OTU1179,0
OTU1203,0
OTU1201,0
OTU1199,0
OTU1184,0
OTU1186,0
OTU1190,0
OTU1214,0
OTU1171,0
OTU1166,0
OTU1148,0
OTU1124,0
OTU1137,0
OTU1232,0
OTU1139,0
OTU1144,0
OTU1229,0
OTU1227,0
OTU1161,0
OTU1151,0
OTU1153,0
OTU1155,0
OTU1223,0
OTU1221,0
OTU1220,0
OTU1051,0
OTU1282,0
OTU1040,0
OTU1032,0
OTU947,0
OTU1345,0
OTU1344,0
OTU1342,0
OTU1341,0
OTU1340,0
OTU955,0
OTU1337,0
OTU1336,0
OTU1335,0
OTU1334,0
OTU968,0
OTU1330,0
OTU969,0
OTU970,0
OTU1347,0
OTU944,0
OTU942,0
OTU924,0
OTU910,0
OTU914,0
OTU1364,0
OTU916,0
OTU1362,0
OTU919,0
OTU1359,0
OTU1350,0
OTU927,0
OTU1357,0
OTU930,0
OTU1194,0
OTU936,0
OTU940,0
OTU1327,0
OTU972,0
OTU1325,0
OTU1295,0
OTU994,0
OTU1303,0
OTU996,0
OTU1301,0
OTU1300,0
OTU1012,0
OTU1015,0
OTU1306,0
OTU1293,0
OTU1017,0
OTU1291,0
OTU1290,0
OTU1289,0
OTU1018,0
OTU1305,0
OTU993,0
OTU974,0
OTU1317,0
OTU1323,0
OTU1322,0
OTU1321,0
OTU1320,0
OTU977,0
OTU979,0
OTU1316,0
OTU1308,0
OTU983,0
OTU1314,0
OTU1313,0
OTU1312,0
OTU1311,0
OTU986,0
OTU758,0
