,0
OTU527,0
OTU491,0
OTU494,0
OTU495,0
OTU503,0
OTU504,0
OTU507,0
OTU530,0
OTU795,0
OTU531,0
OTU555,0
OTU564,0
OTU577,0
OTU580,0
OTU582,0
OTU489,0
OTU465,0
OTU460,0
OTU453,0
OTU437,0
OTU436,0
OTU424,0
OTU423,0
OTU419,0
OTU385,0
OTU379,0
OTU367,0
OTU344,0
OTU332,0
OTU298,0
OTU288,0
OTU262,0
OTU594,0
OTU597,0
OTU611,0
OTU739,0
OTU794,0
OTU793,0
OTU792,0
OTU788,0
OTU779,0
OTU778,0
OTU775,0
OTU768,0
OTU763,0
OTU761,0
OTU755,0
OTU748,0
OTU742,0
OTU741,0
OTU737,0
OTU612,0
OTU731,0
OTU726,0
OTU719,0
OTU718,0
OTU709,0
OTU687,0
OTU685,0
OTU671,0
OTU670,0
OTU659,0
OTU654,0
OTU641,0
OTU634,0
OTU625,0
OTU972,0
OTU973,0
OTU976,0
OTU1170,0
OTU1163,0
OTU1164,0
OTU1165,0
OTU1166,0
OTU1168,0
OTU1169,0
OTU1172,0
OTU1122,0
OTU1173,0
OTU1176,0
OTU1179,0
OTU1181,0
OTU1182,0
OTU1183,0
OTU1162,0
OTU1161,0
OTU1159,0
OTU1158,0
OTU1156,0
OTU1155,0
OTU1154,0
OTU1153,0
OTU1151,0
OTU1149,0
OTU1148,0
OTU1142,0
OTU1137,0
OTU1136,0
OTU1130,0
OTU1129,0
OTU1127,0
OTU1186,0
OTU1187,0
OTU1189,0
OTU1214,0
OTU1233,0
OTU1232,0
OTU1230,0
OTU1228,0
OTU1227,0
OTU1225,0
OTU1224,0
OTU1223,0
OTU1221,0
OTU1220,0
OTU1219,0
OTU1218,0
OTU1217,0
OTU1215,0
OTU1211,0
OTU1190,0
OTU1210,0
OTU1208,0
OTU1207,0
OTU1205,0
OTU1204,0
OTU1203,0
OTU1202,0
OTU1201,0
OTU1200,0
OTU1199,0
OTU1198,0
OTU1193,0
OTU1192,0
OTU1191,0
OTU1123,0
OTU1118,0
OTU977,0
OTU1022,0
OTU1012,0
OTU1014,0
OTU1015,0
OTU1017,0
OTU1018,0
OTU1019,0
OTU1025,0
OTU1117,0
OTU1026,0
OTU1029,0
OTU1030,0
OTU1032,0
OTU1035,0
OTU1036,0
OTU1010,0
OTU1007,0
OTU1006,0
OTU1005,0
OTU1004,0
OTU1003,0
OTU1001,0
OTU1000,0
OTU997,0
OTU996,0
OTU993,0
OTU990,0
OTU988,0
OTU986,0
OTU984,0
OTU979,0
OTU978,0
OTU1038,0
OTU1042,0
OTU1044,0
OTU1081,0
OTU1115,0
OTU1113,0
OTU1112,0
OTU1110,0
OTU1108,0
OTU1106,0
OTU1103,0
OTU1102,0
OTU1099,0
OTU1096,0
OTU1095,0
OTU1094,0
OTU1091,0
OTU1082,0
OTU1077,0
OTU1045,0
OTU1076,0
OTU1074,0
OTU1072,0
OTU1069,0
OTU1067,0
OTU1064,0
OTU1062,0
OTU1059,0
OTU1056,0
OTU1055,0
OTU1054,0
OTU1052,0
OTU1051,0
OTU1049,0
OTU1514,0
