OTU	Domain	Phylum	Class	Order	Family	Genus	Species
OTU895	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella_9	?
OTU896	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Eggerthellaceae	?	?
OTU897	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Sutterellaceae	Sutterella	?
OTU898	Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium adolescentis
OTU899	Bacteria	Firmicutes	?	?	?	?	?
OTU900	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	?	?
OTU901	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	?	?	?
OTU902	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	TRA3-20	uncultured beta proteobacterium	?
OTU903	Bacteria	Firmicutes	Bacilli	RF39	?	?	?
OTU904	Bacteria	?	?	?	?	?	?
OTU905	Bacteria	Firmicutes	Clostridia	Clostridia UCG-014	?	?	?
OTU906	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Vibrionaceae	Vibrio	?
OTU907	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	?	?
OTU908	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Barnesiellaceae	Coprobacter	Bacteroidales bacterium
OTU909	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelotrichaceae	Turicibacter	?
OTU910	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Negativibacillus	?
OTU911	Bacteria	Firmicutes	Bacilli	?	?	?	?
OTU912	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	F082	uncultured rumen bacterium	?
OTU913	Bacteria	Bacteroidota	Bacteroidia	?	?	?	?
OTU914	Bacteria	Proteobacteria	Alphaproteobacteria	Azospirillales	Azospirillaceae	Azospirillum	Azospirillum doebereinerae
OTU915	Bacteria	Proteobacteria	Alphaproteobacteria	Reyranellales	Reyranellaceae	Reyranella	?
OTU916	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	uncultured organism	?
OTU917	Bacteria	Proteobacteria	Alphaproteobacteria	Micropepsales	Micropepsaceae	?	metagenome
OTU918	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Sutterellaceae	Sutterella	?
OTU919	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Tyzzerella	?
OTU920	Bacteria	Firmicutes	Bacilli	RF39	uncultured rumen bacterium	?	?
OTU921	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	p-2534-18B5 gut group	?	?
OTU922	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	?	?
OTU923	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Ligilactobacillus	?
OTU924	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Vibrionaceae	Vibrio	Vibrio metschnikovii
OTU925	Bacteria	Nitrospirota	Nitrospiria	Nitrospirales	Nitrospiraceae	Nitrospira	?
OTU926	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Paracoccus	?
OTU927	Bacteria	Desulfobacterota	Desulfovibrionia	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio	?
OTU928	Bacteria	Firmicutes	Clostridia	Oscillospirales	Butyricicoccaceae	UCG-009	?
OTU929	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Pasteurellaceae	Actinobacillus	?
OTU930	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	?	?
OTU931	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	?	?
OTU932	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Aliiroseovarius	?
OTU933	Bacteria	Desulfobacterota	Desulfovibrionia	Desulfovibrionales	Desulfovibrionaceae	Bilophila	?
OTU934	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	?	?
